[2026-08-10T18:45:12.869Z] GET https://cdn.jsdelivr.net/npm/world-atlas@2/land-110m.json → 200 (6ms, -1030B)
[2026-08-10T18:48:55.811Z] GET https://w0-0n9.github.io/traivel/?nocache=1786387735 → 200 (120ms, 13289B)
[2026-08-10T18:48:55.993Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Oswald:wght@400;500;600&family=IBM+Plex+Sans+KR:wght@400;500;600;700&display=swap → 200 (6ms, -743B)
[2026-08-10T18:48:56.001Z] GET https://w0-0n9.github.io/traivel/profile.jpg → 200 (?ms, -685B)
[2026-08-10T18:48:56.003Z] GET https://cdn.jsdelivr.net/npm/d3@7/dist/d3.min.js → 200 (4ms, -1103B)
[2026-08-10T18:48:56.007Z] GET https://cdn.jsdelivr.net/npm/topojson-client@3/dist/topojson-client.min.js → 200 (?ms, -1105B)
[2026-08-10T18:48:56.086Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.108.woff2 → 200 (1ms, -814B)
[2026-08-10T18:48:56.087Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.110.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.087Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.112.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.088Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.114.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.088Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.115.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.088Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.116.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.088Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.117.woff2 → 200 (1ms, -814B)
[2026-08-10T18:48:56.089Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.118.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.089Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.119.woff2 → 200 (5ms, -814B)
[2026-08-10T18:48:56.094Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNOwtW_WpzEpMs.woff2 → 200 (?ms, -815B)
[2026-08-10T18:48:56.094Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → 200 (2ms, -814B)
[2026-08-10T18:48:56.096Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.115.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.096Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.096Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → 200 (1ms, -814B)
[2026-08-10T18:48:56.097Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.097Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbT7HmqeHWdb8.woff2 → 200 (?ms, -815B)
[2026-08-10T18:48:56.097Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → 200 (2ms, -814B)
[2026-08-10T18:48:56.100Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.100Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.116.woff2 → 200 (?ms, -814B)
[2026-08-10T18:48:56.100Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → 200 (?ms, -814B)
